date,count
2019/5/17 0:10,99.3
2019/5/17 0:15,99.44
2019/5/17 0:20,99.29
2019/5/17 0:25,99.24
2019/5/17 0:30,99.33
2019/5/17 0:35,99.33
2019/5/17 0:40,99.26
2019/5/17 0:45,99.26
2019/5/17 0:50,99.26
2019/5/17 0:55,99.19
2019/5/17 1:00,99.29
2019/5/17 1:05,99.34
2019/5/17 1:10,99.27
2019/5/17 1:15,99.32
2019/5/17 1:21,99.36
2019/5/17 1:25,99.3
2019/5/17 1:30,99.29
2019/5/17 1:35,99.38
2019/5/17 1:40,99.32
2019/5/17 1:45,99.27
2019/5/17 1:50,99.29
2019/5/17 1:55,99.32
2019/5/17 2:00,99.27
2019/5/17 2:05,99.3
2019/5/17 2:10,99.3
2019/5/17 2:15,99.24
2019/5/17 2:20,99.24
2019/5/17 2:25,99.38
2019/5/17 2:30,99.23
2019/5/17 2:35,99.3
2019/5/17 2:40,99.37
2019/5/17 2:45,99.29
2019/5/17 2:50,99.21
2019/5/17 2:55,99.33
2019/5/17 3:00,99.35
2019/5/17 3:05,99.29
2019/5/17 3:10,99.4
2019/5/17 3:15,99.32
2019/5/17 3:20,99.24
2019/5/17 3:25,99.32
2019/5/17 3:30,99.24
2019/5/17 3:35,99.29
2019/5/17 3:40,99.4
2019/5/17 3:45,99.38
2019/5/17 3:50,99.33
2019/5/17 3:55,99.21
2019/5/17 4:00,99.35
2019/5/17 4:05,99.26
2019/5/17 4:10,99.29
2019/5/17 4:15,99.29
2019/5/17 4:20,99.35
2019/5/17 4:25,99.29
2019/5/17 4:30,99.4
2019/5/17 4:35,99.3
2019/5/17 4:40,99.21
2019/5/17 4:45,99.29
2019/5/17 4:50,99.29
2019/5/17 4:55,99.37
2019/5/17 5:00,99.27
2019/5/17 5:05,99.2
2019/5/17 5:10,99.3
2019/5/17 5:15,99.27
2019/5/17 5:20,99.44
2019/5/17 5:25,99.3
2019/5/17 5:30,99.27
2019/5/17 5:35,99.12
2019/5/17 5:40,99.38
2019/5/17 5:45,99.38
2019/5/17 5:50,99.38
2019/5/17 5:55,99.2
2019/5/17 6:00,99.32
2019/5/17 6:05,99.4
2019/5/17 6:10,99.29
2019/5/17 6:15,99.21
2019/5/17 6:20,99.35
2019/5/17 6:25,99.33
2019/5/17 6:30,99.26
2019/5/17 6:35,99.37
2019/5/17 6:40,99.21
2019/5/17 6:45,99.41
2019/5/17 6:50,99.27
2019/5/17 6:55,99.26
2019/5/17 7:00,99.24
2019/5/17 7:05,99.33
2019/5/17 7:10,99.24
2019/5/17 7:15,99.33
2019/5/17 7:20,99.24
2019/5/17 7:25,99.27
2019/5/17 7:30,99.19
2019/5/17 7:35,99.3
2019/5/17 7:40,99.33
2019/5/17 7:45,99.43
2019/5/17 7:50,99.38
2019/5/17 7:55,99.37
2019/5/17 8:00,99.26
2019/5/17 8:05,99.32
2019/5/17 8:10,99.3
2019/5/17 8:15,99.33
2019/5/17 8:20,99.27
2019/5/17 8:25,99.35
2019/5/17 8:30,99.23
2019/5/17 8:35,99.35
2019/5/17 8:40,99.46
2019/5/17 8:45,99.38
2019/5/17 8:50,99.3
2019/5/17 8:55,99.3
2019/5/17 9:00,99.24
2019/5/17 9:05,99.34
2019/5/17 9:10,99.27
2019/5/17 9:15,99.29
2019/5/17 9:20,99.3
2019/5/17 9:25,99.33
2019/5/17 9:30,99.4
2019/5/17 9:35,99.24
2019/5/17 9:40,99.24
2019/5/17 9:45,99.3
2019/5/17 9:50,99.32
2019/5/17 9:55,99.44
2019/5/17 10:00,99.27
2019/5/17 10:05,99.32
2019/5/17 10:10,99.46
2019/5/17 10:15,99.21
2019/5/17 10:20,99.16
2019/5/17 10:25,99.32
2019/5/17 10:30,99.44
2019/5/17 10:35,99.21
2019/5/17 10:40,99.4
2019/5/17 10:45,99.24
2019/5/17 10:50,99.33
2019/5/17 10:55,99.37
2019/5/17 11:00,99.35
2019/5/17 11:05,99.35
2019/5/17 11:10,99.21
2019/5/17 11:15,99.26
2019/5/17 11:20,99.3
2019/5/17 11:25,99.29
2019/5/17 11:30,99.27
2019/5/17 11:35,99.37
2019/5/17 11:40,99.32
2019/5/17 11:45,99.4
2019/5/17 11:50,99.26
2019/5/17 11:55,99.33
2019/5/17 12:00,99.3
2019/5/17 12:05,99.35
2019/5/17 12:10,99.35
2019/5/17 12:15,99.32
2019/5/17 12:20,99.23
2019/5/17 12:25,99.21
2019/5/17 12:30,99.27
2019/5/17 12:35,99.33
2019/5/17 12:40,99.41
2019/5/17 12:45,99.33
